year,sys,fis,per,class,ad,co,ba,no,pv,in,ve,cc,cp,cm
2022,9,1,210,AS,18000,26900,26900,13870,0,22000,10860,9000,22000,24500
2022,11,2,136,Empresa,0,13440,7900,8120,32800,22000,30950,22000,5970,24500
2022,16,2,73,Empresa,0,26880,21340,13870,7900,13520,21720,9000,18000,35360
2022,11,1,108,Empresa,0,13440,13440,13870,32800,22000,10860,9000,22000,24500
2022,12,2,88,AS,18000,13440,7900,8120,32680,22000,24500,9000,4520,24500
2022,9,1,70,Empresa,0,26900,13440,13870,16340,9000,24500,22000,22000,24500
2022,8,1,70,Empresa,0,26900,26900,0,16340,22000,24500,9000,22000,24500
2022,22,7,55,Empresa,0,0,0,0,108860,19950,10860,2850,0,29220
2022,13,4,74,Empresa,0,7900,7900,0,29900,22000,24500,22000,22000,10860
2022,9,2,100,Empresa,0,0,0,0,49140,31000,35360,22000,9000,24500
2022,11,3,82,Empresa,0,0,0,0,81940,4520,59860,7370,0,17310
2022,10,1,87,AS,6300,7900,13440,8120,32800,22000,24500,22000,9000,24500
2022,8,1,85,Empresa,0,26900,26900,27750,0,9000,24500,9000,22000,24500
2022,10,1,69,Empresa,0,26900,26900,13870,7900,22000,10860,9000,22000,24500
2022,18,5,58,Empresa,0,0,7900,0,92520,22600,0,4520,5970,36660
2022,14,2,102,AS,6300,9750,9750,6340,32800,24850,24500,5970,5970,24500
2022,15,3,75,Empresa,0,26880,26880,27740,0,18000,10860,9000,18000,32580
2022,16,2,61,AS,9000,21340,7900,8120,43500,26520,10860,9000,4520,6450
2022,8,1,85,Empresa,0,26900,26900,13870,0,22000,24500,22000,9000,24500
2022,18,2,66,Empresa,0,26880,21340,21990,24240,13520,17310,13520,13520,17310
2021,46,23,46,Empresa,0,0,0,0,103960,65550,0,0,0,0
2021,8,1,75,Empresa,0,26900,26900,27750,0,22000,10860,22000,22000,10860
2022,8,1,80,Empresa,0,26900,13440,13870,0,22000,24500,22000,22000,24500
2022,10,1,75,Empresa,0,13440,0,13870,32800,22000,24500,22000,4520,24500
2022,11,3,72,Empresa,0,13440,13440,8120,76300,4520,24500,9000,9000,10860
2021,9,1,82,Empresa,0,13440,13440,8120,32800,22000,24500,22000,22000,10860
2022,7,1,85,Empresa,0,26900,26900,0,0,22000,24500,22000,22000,24500
2022,7,1,70,Empresa,0,26900,26900,0,0,22000,24500,22000,22000,24500
2022,7,1,100,Empresa,0,26900,26900,0,0,22000,24500,22000,22000,24500
2022,16,5,74,Empresa,0,13440,13440,8120,64940,22520,0,9040,9000,28170
2022,17,4,67,Empresa,0,7900,13440,8120,70000,18040,0,13520,13520,23760
2022,31,11,53,Empresa,0,7900,7900,6340,68300,37500,6450,2850,4520,25270
2022,21,3,62,Empresa,0,15800,15800,8120,16340,18040,41810,18040,13560,19350
2022,26,3,53,Empresa,0,23780,23780,24510,18600,13340,17920,13340,13340,17920
2022,18,5,214,Empresa,0,51420,33030,34090,4520,30550,3550,2850,2850,3550
2022,14,5,69,Empresa,0,26900,26900,16240,0,18000,20860,13520,22000,21720
2022,25,6,54,Empresa,0,0,0,8120,78320,23250,7100,5700,4520,28610
2022,23,7,55,Empresa,0,53760,31600,24360,0,16410,0,0,16410,22900
2022,18,4,60,Empresa,0,13440,13440,8120,53120,19220,6450,11890,22000,17310
2022,16,3,71,Empresa,0,13440,7900,8120,49020,18040,37400,9000,4520,10860
2022,8,1,125,Empresa,0,26900,13440,13870,32800,22000,0,22000,9000,24500
2022,10,1,90,Empresa,0,13440,13440,13870,32800,22000,10860,22000,9000,10860
2022,8,2,114,Empresa,0,26900,15800,27750,0,0,49000,44000,0,0
2022,17,3,59,Empresa,0,7900,15800,0,65480,9040,21720,18040,9040,15840
2022,9,1,82,Empresa,0,26900,13440,13870,0,22000,24500,9000,22000,24500
2022,10,1,79,Empresa,0,26900,7900,13870,0,9000,24500,22000,9000,10860
2022,8,1,87,Empresa,0,0,0,0,32800,22000,24500,9000,4520,24500
2022,9,1,185,Empresa,0,26900,13440,13870,32800,22000,10860,22000,9000,10860
2022,26,5,63,Empresa,0,0,0,0,36660,25410,20000,28220,25370,25800
2022,13,2,75,Empresa,0,13440,0,8120,65600,26520,6450,13520,10490,17310
2022,26,6,56,Empresa,0,7900,7900,0,50200,28570,27270,27120,4520,7920
2022,16,2,56,Empresa,0,6130,7900,8120,49140,13520,24500,9040,9040,17310
2022,21,6,52,Empresa,0,0,0,0,86220,25450,29350,2850,0,16450
2022,26,5,55,Empresa,0,0,0,0,64400,22600,25060,22600,4520,20650
2022,14,4,68,Empresa,0,7900,13440,8120,7900,13520,59860,18000,9000,21720
2022,15,2,118,Empresa,0,13440,7900,8120,49140,26520,6450,13520,9040,17310
2022,14,2,65,Empresa,0,13440,13440,8120,49140,11850,35360,11850,4520,11470
2021,10,1,85,Empresa,0,13440,13440,13870,16340,9000,24500,22000,9000,24500
2020,29,9,53,Empresa,0,0,0,0,79540,40680,0,27320,4520,6450
2022,21,3,47,Empresa,0,21930,20160,22580,49020,10490,6450,13560,7370,6450
2022,38,9,46,Empresa,0,6130,0,0,60960,27320,31950,27320,0,3550
2022,9,1,81,AS,18000,7900,0,8120,7900,22000,24500,22000,22000,24500
2022,9,1,97,Empresa,0,13440,13440,8120,32800,22000,24500,9000,9000,24500
2020,16,4,52,Empresa,0,7900,7900,8120,81820,18080,6450,4520,4520,17310
2021,9,1,122,Empresa,0,26900,13440,8120,32800,22000,10860,9000,9000,24500
2022,9,1,82,Empresa,0,13440,7900,13870,32800,22000,24500,22000,9000,10860
2022,21,4,57,Empresa,0,0,0,0,65360,18080,6450,22560,18080,25800
2022,8,1,90,Empresa,0,26900,13440,13870,0,22000,24500,22000,9000,24500
2021,8,1,70,Empresa,0,26900,13440,13870,0,22000,24500,9000,22000,24500
2022,10,1,69,Empresa,0,13440,7900,8120,32800,22000,24500,22000,4520,7920
2022,8,1,75,Empresa,0,0,9750,0,32800,22000,24500,22000,4520,24500
2022,15,3,53,Empresa,0,7900,7900,8120,65480,13560,10860,4520,4520,10860
2022,17,2,61,Empresa,0,21340,21340,13870,24240,13520,12900,13520,13520,21720
2022,28,11,55,AS,18000,13440,13440,0,53100,31620,7920,5970,5970,6450
2022,7,1,180,Empresa,0,26900,26900,0,0,9000,24500,22000,22000,24500
2022,8,1,105,Empresa,0,13440,13440,13870,0,22000,24500,22000,22000,24500
2022,23,3,54,Empresa,0,21930,21340,16240,7900,13560,23760,13560,13560,23760
2022,11,1,68,Empresa,0,13440,13440,8120,32800,22000,24500,4520,9000,10860
2022,10,1,75,AS,18000,7900,7900,8120,32800,22000,24500,22000,4520,6450
2022,11,1,86,AS,18000,9750,7900,8120,32800,22000,24500,9000,5970,10860
2022,21,8,51,Empresa,0,7900,7900,6340,78920,31110,3550,2850,4520,10860
2022,10,1,70,AS,18000,6130,6130,6340,32800,22000,24500,9000,4520,24500
2022,14,4,78,Empresa,0,19570,13440,14460,0,31000,35360,13520,9000,17310
2022,9,1,142,Empresa,0,26900,13440,0,16340,22000,24500,22000,9000,10860
2022,14,2,73,Empresa,0,7900,7900,0,49140,18000,21720,13520,13520,21720
2022,11,2,78,AS,4500,0,7900,8120,49140,22000,24500,9000,9000,10860
2022,16,2,64,Empresa,0,17650,7900,8120,15800,9040,49000,18000,10490,17310
2021,9,1,59,Empresa,0,26900,13440,8120,32800,9000,24500,9000,4520,24500
2022,17,5,62,AS,18000,0,0,0,68880,35070,6450,10220,2850,10860
2022,8,1,73,Empresa,0,26900,26900,10050,0,22000,24500,22000,9000,10860
2022,14,2,66,Empresa,0,15800,0,0,65600,18000,12900,13520,9040,17310
2022,17,9,62,AS,18000,0,0,0,73900,22000,6450,4520,4520,6450
2022,13,1,62,AS,4500,13440,13440,13870,16340,9000,10860,9000,9000,10860
2022,10,1,61,Empresa,0,26900,13440,8120,7900,22000,24500,9000,9000,24500
2022,13,1,65,AS,4500,13440,13440,13870,7900,9000,24500,9000,9000,24500
2022,9,1,70,AS,9000,26900,13440,13870,0,22000,24500,22000,9000,10860
2022,8,1,72,Empresa,0,26900,26900,13870,0,4520,24500,22000,22000,10860
2022,27,8,49,AS,9000,6130,9750,10050,51920,19950,10860,9000,0,24850
2022,12,3,47,AS,6300,7900,6130,8120,98400,5970,6450,2850,2850,6450
2022,9,1,79,Empresa,0,7900,13440,8120,32800,22000,24500,9000,9000,24500
2022,9,1,74,Empresa,0,26900,7900,8120,32800,22000,24500,9000,9000,10860
2022,12,2,58,Empresa,0,13440,13440,8120,40700,9000,30950,9000,9000,17310
2022,7,2,111,Empresa,0,0,0,0,32800,24850,24500,22000,22000,24500
2022,17,8,50,Empresa,0,0,0,0,113260,34490,0,2850,0,0
2021,20,5,55,Empresa,0,7900,0,0,56920,22600,17310,22600,4520,10860
2022,21,5,52,AS,9000,6130,6130,6340,43980,13520,18780,9040,9040,14370
2020,14,6,52,Empresa,0,13440,7900,8120,81160,9000,10860,4520,4520,10860
2022,10,2,78,Empresa,0,7900,7900,0,32800,22000,35360,4520,4520,35360
2022,8,1,102,Empresa,0,13440,13440,8120,0,22000,24500,22000,22000,24500
2022,8,1,67,Empresa,0,26900,13440,8120,0,22000,10860,22000,22000,24500
2021,9,1,75,Empresa,0,13440,13440,13870,32800,9000,24500,9000,9000,24500
2022,9,1,68,Empresa,0,7900,13440,6340,32800,22000,24500,9000,9000,24500
2022,10,1,82,AS,6300,9750,9750,6340,32800,22000,24500,9000,4520,24500
2021,30,9,45,Empresa,0,0,7900,0,59260,30660,6450,0,4520,40650
2022,19,2,52,Empresa,0,15800,15800,14460,24240,9040,21720,18000,9040,12900
2022,10,1,69,Empresa,0,13440,13440,8120,0,22000,24500,9000,9000,10860
2022,11,1,92,Empresa,0,7900,7900,8120,7900,22000,24500,22000,9000,24500
2022,11,2,63,Empresa,0,7900,7900,0,32680,26520,24500,9000,9000,24500
2022,10,1,68,Empresa,0,26900,13440,8120,10700,22000,24500,22000,4520,10860
2022,38,11,49,Empresa,0,0,0,0,21460,36360,47750,36360,0,0
2022,11,1,64,AS,4500,13440,13440,13870,32800,9000,24500,9000,9000,10860
