year,sys,fis,per,class,ad,co,ba,no,pv,in,ve,cc,cp,cm
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2020,7,1,14,Empresa,0,7900,7900,8120,0,4520,6450,0,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,4520,6450,4520,0,6450
2022,7,1,12,Empresa,0,6130,6130,6340,16340,4520,0,0,2850,3550
2022,7,1,14,Empresa,0,7900,0,8120,7900,4520,6450,4520,0,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2020,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,2,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2020,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,4520,6450,0,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,6450
2022,8,2,14,Empresa,0,7900,7900,8120,0,0,10000,7370,4520,0
2022,9,5,13,Empresa,0,7900,0,0,24840,13070,0,0,0,0
2022,8,1,14,Empresa,0,7900,7900,8120,0,4520,3550,2850,4520,6450
2022,4,2,16,Contador,0,26900,7900,0,0,4520,6450,0,0,0
2022,8,1,13,Empresa,0,9750,7900,8120,7900,2850,0,2850,2850,3550
2022,6,2,16,Empresa,0,0,0,0,24240,4520,0,4520,4520,7920
2022,6,1,17,Empresa,0,0,0,0,16340,5970,7920,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,0
2022,5,2,18,Empresa,0,13440,7900,6340,0,0,0,9000,9000,0
2022,7,1,13,Empresa,0,7900,7900,8120,7900,2850,6450,4520,0,0
2020,5,1,17,Empresa,0,7900,9750,8120,0,0,10860,9000,0,0
2022,7,1,16,Empresa,0,0,0,6340,0,4520,10860,4520,4520,6450
2020,9,2,14,Empresa,0,0,0,0,24240,5700,3550,5700,2850,3550
2022,7,1,16,Empresa,0,7900,9750,0,0,4520,7920,4520,4520,6450
2022,7,1,16,Empresa,0,9750,7900,0,0,4520,7920,4520,4520,6450
2022,5,2,17,Empresa,0,13440,0,13870,4520,0,10860,2850,0,0
2022,7,2,13,Empresa,0,14030,7900,8120,0,0,6450,4520,4520,0
2021,8,4,13,Empresa,0,7900,7900,8120,0,0,10650,0,4520,6450
2021,7,2,13,Empresa,0,7900,7900,6340,7900,0,6450,4520,4520,0
2022,8,1,14,Empresa,0,7900,7900,6340,0,4520,3550,2850,4520,7920
2022,10,4,14,Empresa,0,0,0,0,21460,13070,0,4520,0,6450
2022,6,1,17,Empresa,0,9750,7900,0,0,0,7920,5970,5970,7920
2022,13,5,13,Empresa,0,0,0,0,22600,14250,0,8550,0,0
2022,7,2,15,Empresa,0,0,0,8120,15800,10490,6450,4520,0,0
2022,6,3,15,Empresa,0,26900,0,6340,0,2850,3550,2850,2850,0
2022,11,3,12,Empresa,0,0,0,6340,16940,8550,7100,2850,0,3550
2021,4,1,19,AS,18000,0,0,0,16340,4520,6450,0,0,0
2022,8,1,14,Empresa,0,7900,7900,6340,0,2850,7920,5970,2850,3550
2022,10,5,13,Empresa,0,0,0,0,29360,15920,0,0,0,0
2022,6,1,16,Empresa,0,7900,7900,8120,0,5970,10860,4520,0,0
2020,5,1,19,Empresa,0,0,0,0,16340,9000,0,4520,4520,10860
2022,5,1,19,Empresa,0,0,0,0,16340,9000,0,4520,4520,10860
2022,5,1,19,Empresa,0,0,0,0,16340,9000,0,4520,4520,10860
2022,9,1,12,Empresa,0,7900,6130,6340,0,2850,6450,2850,2850,3550
2022,4,1,20,Cajero,0,0,0,0,16340,9000,10860,9000,0,0
2022,7,1,16,Empresa,0,7900,7900,0,0,4520,7920,4520,4520,7920
2022,4,1,20,Cajero,0,0,0,0,16340,9000,10860,9000,0,0
2022,4,1,20,Cajero,0,0,0,0,16340,9000,0,0,9000,10860
2022,4,1,20,NA,0,0,0,0,16340,0,10860,9000,9000,0
2022,8,2,15,Empresa,0,7900,0,8120,4520,2850,10860,7370,0,3550
2022,8,1,13,Empresa,0,7900,6130,6340,0,4520,6450,2850,4520,6450
2022,8,1,13,Empresa,0,7900,6130,6340,0,2850,6450,4520,4520,6450
2022,8,1,13,Empresa,0,6130,7900,6340,0,2850,6450,4520,4520,6450
2022,8,1,13,Empresa,0,6130,7900,6340,0,2850,6450,4520,4520,6450
2020,7,1,16,Empresa,0,7900,7900,0,0,5970,6450,5970,4520,6450
2022,8,1,13,Empresa,0,7900,6130,6340,0,2850,6450,4520,4520,6450
2022,8,1,13,Empresa,0,7900,6130,6340,0,4520,6450,4520,2850,6450
2022,8,1,16,AS,4500,0,0,0,7900,4520,6450,4520,4520,6450
2022,7,2,16,Empresa,0,7900,0,6340,0,4520,10860,4520,4520,6450
2022,7,1,17,Empresa,0,0,7900,0,0,4520,10860,4520,4520,6450
2022,6,1,17,Empresa,0,7900,0,6340,0,4520,10860,9000,0,6450
2022,8,1,13,Empresa,0,6130,6130,6340,0,4520,6450,4520,4520,6450
2022,7,1,15,Empresa,0,7900,0,0,10700,4520,6450,4520,4520,6450
2022,8,1,13,Empresa,0,6130,6130,6340,0,4520,6450,4520,4520,6450
2022,8,1,13,Empresa,0,6130,6130,6340,0,4520,6450,4520,4520,6450
2022,10,2,13,Empresa,0,7900,0,0,15800,5700,0,2850,5700,7100
2022,9,1,11,Empresa,0,6130,6130,6340,7900,2850,6450,2850,2850,3550
2022,9,1,11,Empresa,0,6130,6130,6340,7900,2850,6450,2850,2850,3550
2022,7,1,16,Empresa,0,7900,7900,0,0,4520,10860,2850,4520,6450
2022,6,1,15,Empresa,0,13440,7900,8120,0,0,6450,4520,4520,0
2021,6,1,15,Empresa,0,13440,7900,8120,0,0,6450,4520,4520,0
2021,6,1,15,Empresa,0,13440,0,8120,7900,4520,0,0,4520,6450
2022,7,2,14,Empresa,0,6130,6130,6340,0,4520,10860,4520,0,6450
2022,8,1,13,Empresa,0,6130,6130,0,7900,2850,6450,4520,4520,6450
2022,6,1,15,Empresa,0,13440,7900,8120,0,4520,6450,4520,0,0
2022,6,1,15,Empresa,0,13440,7900,8120,0,0,6450,4520,4520,0
2022,6,1,15,Empresa,0,13440,7900,8120,0,0,6450,4520,4520,0
2022,6,1,15,Empresa,0,13440,7900,8120,0,0,6450,4520,4520,0
2022,5,1,16,Empresa,0,13440,7900,8120,0,0,6450,9000,0,0
2021,8,1,14,Empresa,0,6130,6130,6340,0,4520,10860,4520,2850,3550
2022,7,1,16,Empresa,0,0,6130,0,7900,4520,10860,4520,4520,6450
2022,8,1,13,Empresa,0,6130,6130,6340,0,2850,7920,4520,4520,6450
2021,6,1,16,Empresa,0,13440,7900,0,0,4520,6450,0,4520,7920
2022,10,1,12,AS,4500,6130,6130,0,4520,2850,3550,2850,2850,3550
2022,8,4,14,Empresa,0,0,0,0,28220,16410,0,0,0,0
2021,6,1,14,Empresa,0,0,0,6340,16340,4520,6450,4520,0,6450
2021,6,1,14,Empresa,0,0,0,6340,16340,4520,6450,4520,0,6450
2022,6,1,14,Empresa,0,0,0,6340,16340,4520,6450,4520,0,6450
2020,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,0,6450
2020,5,3,15,Empresa,0,0,0,0,32680,9040,0,0,2850,0
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,23,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2020,5,1,15,Empresa,0,13440,7900,13870,0,0,6450,2850,0,0
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2021,5,1,15,Empresa,0,13440,7900,13870,0,0,6450,2850,0,0
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2021,5,1,18,Empresa,0,0,0,0,0,4520,24500,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,8120,16340,4520,0,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,8120,16340,4520,0,4520,4520,6450
2022,8,1,13,Empresa,0,6130,6130,6340,0,2850,10860,2850,2850,6450
2020,6,1,15,Empresa,0,0,0,6340,16340,2850,10860,4520,0,3550
2022,6,1,18,Empresa,0,0,0,0,10700,5970,7920,5970,5970,7920
2022,7,2,15,Empresa,0,13440,0,8120,4520,4520,6450,7370,0,0
2022,8,2,14,Empresa,0,0,0,0,24240,7370,3550,2850,2850,3550
2021,5,1,16,Empresa,0,0,0,8120,16340,4520,10860,4520,0,0
2022,3,1,20,NA,0,0,0,0,0,9000,24500,0,0,10860
2022,3,2,16,Contador,0,26900,0,13870,0,0,3550,0,0,0
2020,4,1,15,Contador,0,26900,0,8120,0,0,6450,2850,0,0
2022,6,1,16,Empresa,0,0,0,0,16340,4520,6450,4520,4520,7920
2022,7,1,13,Empresa,0,9750,7900,6340,0,0,6450,2850,4520,6450
2022,8,2,16,Empresa,0,0,0,0,15800,7370,10860,7370,2850,0
2020,6,1,15,Empresa,0,0,7900,0,16340,4520,0,4520,4520,6450
2022,6,2,15,Empresa,0,0,0,0,24240,9040,0,4520,0,6450
2022,6,1,15,Empresa,0,0,7900,0,16340,4520,0,4520,4520,6450
2022,6,2,15,Empresa,0,0,0,0,24240,4520,0,4520,4520,6450
2022,6,1,16,Empresa,0,0,0,0,16340,5970,6450,4520,4520,6450
2022,6,2,15,Empresa,0,0,0,0,24240,9040,0,0,4520,6450
2022,6,1,15,Empresa,0,0,7900,0,16340,4520,0,4520,4520,6450
2022,6,1,15,Empresa,0,7900,0,0,16340,4520,0,4520,4520,6450
2022,6,1,15,Empresa,0,7900,0,0,16340,4520,0,4520,4520,6450
2022,12,6,12,Empresa,0,0,0,0,27120,17100,0,0,0,0
2022,7,1,13,Empresa,0,7900,7900,8120,0,0,6450,2850,4520,6450
2022,7,1,13,Empresa,0,7900,7900,8120,0,0,6450,2850,4520,6450
2022,7,1,13,Empresa,0,7900,7900,8120,0,0,6450,2850,4520,6450
2022,5,1,14,Empresa,0,13440,0,6340,16340,4520,3550,0,0,0
2022,7,1,11,Empresa,0,6130,6130,6340,16340,2850,0,0,2850,3550
2022,8,1,13,Empresa,0,7900,0,8120,7900,4520,6450,2850,2850,3550
2022,5,1,17,Empresa,0,0,0,0,16340,5970,7920,5970,0,7920
2021,9,3,15,Empresa,0,0,0,0,20320,11890,0,11890,0,0
2021,6,3,12,Empresa,0,0,0,0,0,0,0,0,0,0
2022,8,2,12,Empresa,0,6130,6130,6340,0,4520,10000,4520,0,6450
2022,7,1,13,Empresa,0,7900,7900,6340,0,0,6450,4520,4520,6450
2022,5,1,15,Empresa,0,13440,13440,6340,0,0,0,0,4520,0
2022,6,3,14,Empresa,0,0,0,0,32140,11890,0,0,0,0
2022,10,1,10,Empresa,0,6130,6130,6340,4520,2850,3550,2850,2850,3550
2022,3,1,17,Contador,0,26900,0,8120,0,0,0,0,9000,0
2020,10,1,10,Empresa,0,6130,6130,6340,4520,2850,3550,2850,2850,3550
2022,4,1,17,Contador,0,13440,13440,8120,0,0,0,0,9000,0
2022,4,1,17,Contador,0,13440,13440,8120,0,0,0,0,9000,0
2022,7,1,16,Empresa,0,7900,0,8120,0,4520,10860,4520,4520,3550
2022,12,2,12,Empresa,0,0,0,12680,0,5700,7100,5700,5700,7100
2022,7,1,13,Empresa,0,7900,7900,0,7900,4520,6450,2850,0,6450
2022,7,1,15,Empresa,0,0,7900,8120,0,4520,7920,4520,4520,6450
2022,8,2,13,Empresa,0,0,0,0,12420,4520,6450,2850,2850,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,4520,6450,4520,4520,0
2022,7,1,14,Empresa,0,7900,0,8120,7900,4520,0,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,8120,0,4520,6450,4520,4520,0
2022,7,1,14,Empresa,0,7900,7900,8120,0,4520,6450,4520,4520,0
2022,7,1,14,Empresa,0,7900,7900,8120,0,4520,6450,4520,4520,0
2022,7,1,13,Empresa,0,7900,7900,8120,4520,0,6450,4520,4520,0
2022,9,3,12,Empresa,0,6130,6130,0,7900,7370,10000,2850,0,3550
2022,7,1,13,Empresa,0,0,6130,0,16340,2850,6450,2850,2850,6450
2022,4,1,15,Contador,0,9750,0,27750,0,0,3550,2850,0,0
2021,6,1,15,Empresa,0,7900,7900,8120,0,0,6450,4520,9000,0
2022,4,1,15,Contador,0,13440,0,8120,16340,0,0,5970,0,0
2022,6,1,16,Empresa,0,0,0,0,16340,4520,6450,2850,2850,10860
2022,4,1,19,NA,0,0,0,0,0,4520,10860,22000,0,6450
2021,6,1,15,Empresa,0,7900,7900,8120,0,4520,0,0,4520,10860
2022,9,1,11,Empresa,0,6130,6130,6340,7900,4520,3550,2850,2850,3550
2022,6,1,15,Empresa,0,7900,7900,8120,0,4520,10860,4520,0,0
2021,6,1,15,Empresa,0,7900,7900,8120,0,0,10860,4520,4520,0
2022,6,1,15,Empresa,0,7900,7900,8120,0,0,10860,4520,4520,0
2022,6,1,15,Empresa,0,7900,7900,8120,0,0,10860,4520,4520,0
2022,6,1,15,Empresa,0,7900,7900,8120,0,0,10860,4520,4520,0
2022,3,1,19,Cajero,0,0,0,0,32800,4520,0,0,0,6450
2022,3,1,14,Cajero,0,0,0,0,32800,4520,0,0,0,6450
2022,3,1,14,Cajero,0,0,0,0,32800,4520,6450,0,0,0
2021,3,1,19,Cajero,0,0,0,0,32800,4520,0,0,0,6450
2022,3,1,14,Cajero,0,0,0,0,32800,4520,0,0,0,6450
2022,3,1,14,Cajero,0,0,0,0,32800,4520,0,0,0,6450
2022,7,1,15,Empresa,0,7900,7900,0,0,4520,7920,4520,4520,6450
2022,7,1,15,Empresa,0,7900,7900,0,0,4520,7920,4520,4520,6450
2022,4,1,14,Cajero,0,0,0,0,32800,4520,0,0,2850,3550
2020,7,2,15,Empresa,0,0,0,0,20860,7370,0,4520,4520,6450
2022,4,1,14,Cajero,0,0,0,0,32800,2850,3550,4520,0,0
2022,7,2,15,Empresa,0,0,0,0,20860,7370,0,4520,4520,6450
2022,7,2,15,Empresa,0,0,0,0,20860,7370,0,4520,4520,6450
2022,7,1,15,Empresa,0,7900,7900,0,0,5970,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,7900,0,7900,4520,0,4520,4520,6450
2022,7,3,14,Empresa,0,0,0,0,23700,13560,0,0,0,6450
2022,7,1,14,Empresa,0,7900,7900,0,7900,4520,0,4520,4520,6450
2022,6,1,18,AS,9000,0,0,0,16340,5970,0,5970,2850,3550
2022,6,2,16,Empresa,0,0,0,0,20860,11850,6450,4520,0,0
2022,2,1,15,NA,0,0,0,0,32800,0,10860,0,0,0
2022,8,1,13,Empresa,0,6130,6130,6340,0,4520,7920,4520,4520,3550
2022,7,1,15,Empresa,0,0,0,6340,7900,5970,7920,4520,4520,6450
2022,7,1,16,Empresa,0,0,7900,0,0,4520,7920,4520,4520,7920
2022,10,2,15,Empresa,0,0,0,0,4520,7370,11470,7370,2850,10000
2022,3,2,14,Cajero,0,0,0,0,32800,2850,0,0,0,7920
2022,10,2,11,Empresa,0,6130,6130,6340,0,5700,10000,2850,2850,3550
2022,8,1,14,AS,4500,0,0,6340,7900,4520,6450,4520,2850,6450
2022,6,1,14,Empresa,0,0,0,0,16340,4520,6450,0,4520,6450
2022,6,1,18,Empresa,0,9750,0,0,0,5970,7920,5970,5970,7920
2022,6,1,15,Empresa,0,13440,0,8120,0,0,6450,4520,4520,6450
2022,8,1,12,Empresa,0,7900,6130,6340,0,2850,6450,2850,4520,6450
2022,8,1,14,Empresa,0,7900,6130,0,0,2850,7920,2850,5970,3550
2022,6,1,18,Empresa,0,0,0,8120,0,9000,10860,4520,4520,6450
2022,6,1,18,Empresa,0,0,0,8120,0,9000,10860,4520,4520,6450
2022,5,1,15,Empresa,0,9750,9750,10050,0,0,7920,5970,0,0
2022,8,1,13,Empresa,0,6130,6130,6340,0,5970,7920,2850,4520,3550
2022,6,1,18,Empresa,0,0,0,8120,0,4520,10860,4520,4520,10860
2022,6,1,18,Empresa,0,0,0,8120,0,4520,10860,4520,4520,10860
2022,6,1,18,Empresa,0,0,0,8120,0,4520,10860,4520,4520,10860
2022,8,2,12,Empresa,0,6130,6130,6340,0,4520,6450,4520,2850,6450
2020,5,1,16,Empresa,0,13440,0,8120,0,4520,10860,0,0,6450
2022,9,2,15,Empresa,0,0,0,0,0,9040,12900,5700,2850,12900
2022,6,2,14,Empresa,0,0,0,0,21400,9040,0,0,0,12900
2022,8,1,13,Empresa,0,13440,7900,6340,0,2850,3550,2850,2850,3550
2022,6,1,12,Empresa,0,6130,0,6340,16340,4520,6450,0,0,3550
2021,7,1,16,Empresa,0,7900,0,0,4520,4520,10860,4520,4520,6450
2022,7,1,14,Empresa,0,6130,0,0,10700,4520,6450,4520,4520,6450
2022,8,5,11,Empresa,0,0,0,6340,25980,4520,6450,0,0,0
2020,9,2,13,Empresa,0,6130,7900,0,4520,7370,6450,4520,2850,3550
2022,6,1,14,Empresa,0,13440,7900,8120,0,0,6450,4520,2850,0
2022,6,1,14,Empresa,0,13440,7900,8120,0,0,6450,2850,4520,0
2022,10,1,11,AS,4500,6130,6130,6340,4520,2850,3550,2850,2850,3550
2021,6,2,18,Empresa,0,0,0,0,7900,4520,10860,4520,9000,6450
2022,6,1,18,Empresa,0,7900,0,0,0,9000,10860,4520,4520,6450
2022,11,3,12,Empresa,0,0,0,0,16940,8550,7100,0,0,10650
2022,8,1,13,Empresa,0,6130,6130,6340,0,2850,10860,4520,2850,3550
2022,7,1,15,Empresa,0,6130,7900,0,0,2850,10860,4520,4520,6450
2020,3,1,15,Contador,0,13440,13440,0,16340,0,0,0,0,0
2022,6,1,18,Empresa,0,7900,0,0,0,4520,10860,4520,4520,10860
2022,6,1,18,Empresa,0,0,7900,0,0,4520,10860,4520,4520,10860
2022,6,1,18,Empresa,0,0,0,0,7900,4520,10860,4520,4520,10860
2022,6,1,18,Empresa,0,7900,0,0,0,4520,10860,4520,4520,10860
2022,8,1,14,Empresa,0,7900,6130,0,4520,2850,10860,4520,2850,3550
2022,6,2,14,Empresa,0,13440,13440,6340,0,0,7100,2850,0,0
2022,8,1,11,Empresa,0,6130,6130,6340,7900,4520,0,2850,2850,6450
2020,6,1,18,Empresa,0,0,7900,0,0,5970,10860,5970,4520,7920
2022,6,1,17,AS,9000,0,7900,6340,0,4520,0,0,4520,10860
2022,7,1,15,Empresa,0,6130,6130,0,0,4520,10860,4520,4520,6450
2021,7,1,15,Empresa,0,6130,6130,0,0,4520,10860,4520,4520,6450
2022,7,2,12,Empresa,0,19570,6130,8120,0,2850,3550,2850,0,0
2022,5,1,18,Empresa,0,0,0,0,0,5970,24500,4520,4520,3550
2022,6,3,10,Empresa,0,7900,7900,20800,0,0,6450,0,0,0
2022,6,1,17,Empresa,0,0,0,0,10700,4520,10860,4520,4520,7920
2022,4,1,14,Cajero,0,0,0,0,32800,4520,0,2850,2850,0
2022,6,1,17,Empresa,0,0,0,0,10700,4520,10860,5970,4520,6450
2022,8,3,17,Empresa,0,0,0,0,0,4520,17310,7370,7370,6450
2022,8,4,12,Empresa,0,0,0,0,31600,11400,0,0,0,0
2022,5,1,16,Empresa,0,13440,7900,8120,0,0,0,4520,9000,0
2022,3,1,14,NA,0,0,0,0,0,4520,6450,0,0,0
2022,7,1,13,Empresa,0,7900,7900,8120,0,0,6450,4520,4520,3550
2020,9,3,12,Empresa,0,0,0,0,23700,8550,0,0,0,10650
2022,7,1,13,Empresa,0,0,0,6340,16340,4520,3550,2850,2850,6450
2022,7,1,13,Empresa,0,0,0,6340,16340,2850,6450,4520,2850,3550
2021,7,4,15,AS,9000,0,0,0,24840,9040,0,0,0,0
2022,5,1,17,Empresa,0,0,0,0,0,4520,24500,4520,2850,6450
2022,5,1,17,Empresa,0,0,0,0,0,4520,24500,4520,2850,6450
2021,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2021,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2021,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2021,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2021,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2020,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2020,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2021,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2020,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,6,1,15,Empresa,0,0,0,0,16340,4520,6450,4520,4520,6450
2022,7,2,13,Empresa,0,0,0,0,24240,5700,6450,2850,0,3550
2022,7,1,13,Empresa,0,7900,0,0,16340,2850,3550,2850,2850,6450
2022,6,1,12,Empresa,0,7900,7900,8120,7900,0,6450,4520,0,0
2021,7,1,14,Empresa,0,0,0,0,7900,4520,6450,4520,4520,6450
2021,4,1,17,Contador,0,13440,0,13870,0,0,6450,9000,0,0
2022,12,6,13,Empresa,0,0,0,0,7900,17100,17750,0,0,0
2022,8,2,13,Empresa,0,0,0,0,24240,5700,0,2850,2850,7100
2021,6,1,14,Empresa,0,9750,7900,8120,0,0,7920,4520,4520,0
2021,6,1,14,Empresa,0,9750,7900,8120,0,0,6450,4520,5970,0
2021,8,2,14,Empresa,0,0,0,0,20860,7370,7100,7370,0,0
2022,4,1,17,Contador,0,13440,0,13870,0,0,10860,4520,0,0
2020,5,1,16,Empresa,0,0,0,0,16340,4520,10860,4520,0,6450
2022,5,1,16,Empresa,0,0,0,0,16340,4520,10860,4520,0,6450
2022,5,1,16,Empresa,0,0,0,0,16340,4520,10860,4520,0,6450
2022,7,1,14,Empresa,0,9750,0,8120,0,4520,6450,4520,2850,6450
2022,5,1,16,Empresa,0,0,0,0,16340,5970,6450,5970,0,7920
2020,6,1,15,Empresa,0,0,0,0,16340,4520,0,4520,4520,6450
2022,6,1,16,Empresa,0,0,0,0,16340,4520,10860,4520,2850,3550
2022,6,1,16,Empresa,0,0,0,0,16340,2850,10860,4520,4520,3550
2022,6,1,14,Empresa,0,7900,0,0,16340,4520,0,2850,4520,6450
2020,11,2,13,Empresa,0,0,0,0,12420,5700,7100,5700,4520,7100
2022,7,2,14,Empresa,0,0,0,0,24240,7370,0,7370,0,3550
2022,6,2,9,Empresa,0,14030,14030,14460,0,0,0,0,0,0
2022,3,1,20,NA,0,0,0,0,0,9000,24500,9000,0,0
2022,3,1,25,NA,0,0,0,0,0,9000,24500,9000,0,0
2022,3,1,20,NA,0,0,0,0,0,9000,24500,9000,0,0
2020,7,1,14,Empresa,0,0,0,8120,7900,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,0,7900,8120,0,4520,6450,4520,4520,6450
2022,7,1,14,Empresa,0,7900,0,8120,0,4520,6450,4520,4520,6450
